DATATYPE,DATATYPESUBCATEGORY,PURPOSE,PURPOSESUBCATEGORY,ZOOM2020
NAME,PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
NAME,PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
NAME,PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
NAME,PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
NETWORK INFORMATION,DEVICE INFO,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
NETWORK INFORMATION,DEVICE INFO,ADVERTISING,ADVERTISING,ZOOM
NETWORK INFORMATION,DEVICE INFO,ANALYTICS,ANALYTICS,ZOOM
NETWORK INFORMATION,DEVICE INFO,COMPANY OPERATIONS,OPERATIONS,ZOOM
NETWORK INFORMATION,DEVICE INFO,IMPROVE PRODUCTS,ANALYTICS,ZOOM
NETWORK INFORMATION,DEVICE INFO,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
NETWORK INFORMATION,DEVICE INFO,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
NETWORK INFORMATION,DEVICE INFO,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
NETWORK INFORMATION,DEVICE INFO,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
NETWORK INFORMATION,DEVICE INFO,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
NETWORK INFORMATION,DEVICE INFO,PROVIDE SERVICES,OPERATIONS,ZOOM
NETWORK INFORMATION,DEVICE INFO,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
NETWORK INFORMATION,DEVICE INFO,THIRD PARTY,THIRD PARTY,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,ADVERTISING,ADVERTISING,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,ANALYTICS,ANALYTICS,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,IMPROVE PRODUCTS,ANALYTICS,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,LEARN USERS' BEHAVIOR,ANALYTICS,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,LEGAL COMPLIANCE,THIRD PARTY,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,PRODUCT SAFETY,SAFETY AND SECURITY,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,PROTECT COMPANY,SAFETY AND SECURITY,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,SERVICES FOR EXTERNAL BUSINESSES,THIRD PARTY,ZOOM
NON-PERSONAL DATA,NON-PERSONAL DATA,THIRD PARTY,THIRD PARTY,ZOOM
PAYMENT CARD INFORMATION,PERSONAL DATA,PERSONALIZE PRODUCTS,ANALYTICS,ZOOM
PAYMENT CARD INFORMATION,PERSONAL DATA,COMPANY OPERATIONS,OPERATIONS,ZOOM
PAYMENT CARD INFORMATION,PERSONAL DATA,PROVIDE SERVICES,OPERATIONS,ZOOM
PAYMENT CARD INFORMATION,PERSONAL DATA,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
PRODUCT USE,PRODUCT USE,ACCOUNT SECURITY,SAFETY AND SECURITY,ZOOM
PRODUCT USE,PRODUCT USE,ADVERTISING,ADVERTISING,ZOOM
